lookup_key,edge_id,hour_of_day_str,time_scope,is_fallback,edge_traversal_count,total_length_m,total_time_sec,mean_length_m,mean_traversal_time_sec,mean_speed_kph,mean_time_per_km_sec,free_flow_source
10004404209|1199517197|0@all_day,10004404209|1199517197|0,all_day,all_day,1,2,247.03086791480504,19.17589654906037,123.51543395740252,9.587948274530184,46.3765082491997,77.62550773886959,graph_travel_time
10004465551|11981710776|0@all_day,10004465551|11981710776|0,all_day,all_day,1,1,4.152058453828889,1.0,4.152058453828889,1.0,46.3765082491997,240.84439347857287,graph_travel_time
10006220256|1104540741|0@all_day,10006220256|1104540741|0,all_day,all_day,1,2,4.072487105053449,2.0,2.0362435525267246,1.0,47.405,491.1003886343186,graph_travel_time
10006220259|10006220262|0@all_day,10006220259|10006220262|0,all_day,all_day,1,2,38.62183445154969,2.932994494791243,19.310917225774844,1.4664972473956215,47.405,75.94135639700454,graph_travel_time
10006220262|11834421919|0@all_day,10006220262|11834421919|0,all_day,all_day,1,2,60.412455822222014,4.587803838413653,30.206227911111007,2.2939019192068266,47.405,75.94135639700453,graph_travel_time
10006780842|10151264910|0@all_day,10006780842|10151264910|0,all_day,all_day,1,9,352.732907731018,24.755853246836324,39.192545303446444,2.7506503607595914,51.29447388342165,70.18299881936245,graph_travel_time
10006780842|1104541092|0@all_day,10006780842|1104541092|0,all_day,all_day,1,1,20.392604540257576,1.4312141403726228,20.392604540257576,1.4312141403726228,51.29447388342165,70.18299881936245,graph_travel_time
10006780871|1809293166|0@all_day,10006780871|1809293166|0,all_day,all_day,1,1,6.022911992343398,1.0,6.022911992343398,1.0,46.3765082491997,166.03264355701126,graph_travel_time
10007958092|1145511124|0@all_day,10007958092|1145511124|0,all_day,all_day,1,8,456.0105627234985,35.398051465699204,57.00132034043731,4.4247564332124005,46.3765082491997,77.62550773886959,graph_travel_time
10008024973|112613636|0@all_day,10008024973|112613636|0,all_day,all_day,1,7180,435827.09437940473,30587.652450275935,60.70015242052991,4.260118725665172,51.29447388342165,70.18299881936245,graph_travel_time
10008024973|12170107873|0@all_day,10008024973|12170107873|0,all_day,all_day,1,1,280.1900572231043,29.990079923641005,280.1900572231043,29.990079923641005,33.63392857142857,107.03477568356783,graph_travel_time
10008279549|5603341411|0@all_day,10008279549|5603341411|0,all_day,all_day,1,1,61.65553199773685,6.599286037028803,61.65553199773685,6.599286037028803,33.63392857142857,107.03477568356784,graph_travel_time
10008296120|1322214838|0@all_day,10008296120|1322214838|0,all_day,all_day,1,6,391.09103973786523,30.358640531774203,65.18183995631087,5.059773421962367,46.3765082491997,77.62550773886957,graph_travel_time
10008296120|4829593637|0@all_day,10008296120|4829593637|0,all_day,all_day,1,1,139.29620755173264,10.812938837302204,139.29620755173264,10.812938837302204,46.3765082491997,77.62550773886957,graph_travel_time
1001197946|1518685093|0@all_day,1001197946|1518685093|0,all_day,all_day,1,7,432.71613200064843,33.58980945335004,61.81659028580692,4.798544207621434,46.3765082491997,77.62550773886957,graph_travel_time
1001197946|1518686415|0@all_day,1001197946|1518686415|0,all_day,all_day,1,16,828.9689911066058,64.34913883442873,51.81056194416286,4.0218211771517955,46.3765082491997,77.62550773886957,graph_travel_time
1001197946|1518686964|0@all_day,1001197946|1518686964|0,all_day,all_day,1,35,3573.373703815495,277.3849480994027,102.09639153758557,7.925284231411506,46.3765082491997,77.62550773886957,graph_travel_time
1001203366|1129574564|0@all_day,1001203366|1129574564|0,all_day,all_day,1,11,1560.2084960162556,121.1119766817599,141.83713600147777,11.010179698341808,46.3765082491997,77.62550773886957,graph_travel_time
1001203366|1518688497|0@all_day,1001203366|1518688497|0,all_day,all_day,1,6,443.21576891967027,34.404849100262894,73.86929481994504,5.7341415167104826,46.3765082491997,77.62550773886957,graph_travel_time
10017874480|444004655|0@all_day,10017874480|444004655|0,all_day,all_day,1,106,12611.858639768641,979.0019304428898,118.97979848838341,9.23586726832915,46.3765082491997,77.62550773886957,graph_travel_time
10020696666|10020701568|0@all_day,10020696666|10020701568|0,all_day,all_day,1,3,114.2299587228049,12.226578008238636,38.076652907601634,4.075526002746212,33.63392857142857,107.03477568356784,graph_travel_time
10020696666|10020701570|0@all_day,10020696666|10020701570|0,all_day,all_day,1,17,2353.128470368109,251.86657798046764,138.41932178635935,14.815681057674567,33.63392857142857,107.03477568356783,graph_travel_time
10020696666|8449081569|0@all_day,10020696666|8449081569|0,all_day,all_day,1,2,116.56855592336575,12.476889235014886,58.284277961682875,6.238444617507443,33.63392857142857,107.03477568356783,graph_travel_time
10020701568|10020696666|0@all_day,10020701568|10020696666|0,all_day,all_day,1,7,266.53657035321146,28.528682019223485,38.076652907601634,4.075526002746212,33.63392857142857,107.03477568356784,graph_travel_time
10020701568|10020701670|0@all_day,10020701568|10020701670|0,all_day,all_day,1,15,397.9846145164168,42.59819394027589,26.532307634427788,2.8398795960183927,33.63392857142857,107.03477568356783,graph_travel_time
10020701570|10020696666|0@all_day,10020701570|10020696666|0,all_day,all_day,1,1,138.41932178635935,14.815681057674567,138.41932178635935,14.815681057674567,33.63392857142857,107.03477568356783,graph_travel_time
10020701570|2234962239|0@all_day,10020701570|2234962239|0,all_day,all_day,1,31,2802.961965071159,300.01440518096393,90.41812790552125,9.67788403809561,33.63392857142857,107.03477568356783,graph_travel_time
